loc,cyclomatic_complexity,essential_complexity,design_complexity,total_operators,total_operands,halstead_length,halstead_vocabulary,halstead_volume,halstead_difficulty,halstead_effort,defects
230,20,16,12,92,72,164,20,720.3,3.9,2809.17,1
110,8,6,4,37,29,66,11,245.8,2.2,540.76,0
340,29,23,17,133,100,233,27,1052.6,4.9,5157.74,1
132,10,8,5,47,36,83,13,308.7,2.3,710.01,0
190,16,13,9,74,58,132,17,555.2,3.4,1887.68,1
152,11,8,5,52,37,89,13,332.1,2.4,797.04,0
218,19,15,11,83,64,147,18,632.7,3.6,2277.72,1
98,7,5,3,31,23,54,10,186.2,2.1,391.02,0
325,28,22,16,128,95,223,26,978.4,4.6,4500.64,1
124,9,7,4,42,32,74,12,272.8,2.2,600.16,0
185,16,13,9,72,56,128,17,538.9,3.3,1778.37,1
160,12,9,6,55,41,96,15,380.7,2.7,1027.89,0
240,20,16,12,90,70,160,19,690.5,3.8,2623.9,1
110,8,6,4,36,28,64,11,238.7,2.0,477.4,0
305,26,21,15,120,88,208,24,900.2,4.3,3870.86,1
175,14,11,7,68,52,120,16,495.3,3.0,1485.9,1
135,10,8,5,48,36,84,13,312.5,2.5,781.25,0
210,18,14,10,80,62,142,17,610.2,3.5,2135.7,1
95,6,4,3,30,22,52,10,180.4,2.0,360.8,0
320,27,21,15,125,92,217,25,950.7,4.5,4278.15,1
120,8,6,4,40,30,70,12,260.3,2.1,546.63,0
180,15,12,8,70,54,124,16,520.6,3.2,1665.92,1
155,11,8,5,53,39,92,14,340.2,2.3,782.46,0
225,19,15,11,85,66,151,18,648.9,3.7,2404.93,1
100,7,5,3,32,24,56,11,192.8,2.2,424.16,0
330,28,22,16,130,97,227,26,1023.4,4.7,4810.98,1
140,10,8,5,50,38,88,13,328.4,2.4,788.16,0
200,17,13,9,78,60,138,18,598.4,3.4,2034.56,1
